AISC MANUAL LABEL,TYPE,Weight,Area,Depth,Height,Outer Diameter,bf,B,ID,tw,tf,T,TNOM,TDES,Kdes,Kdet,K1,X,Y,E0,XP,YP,bf/2tf,B_T,h/t,H_T,D_T,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,rz,J,Cw,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
,,lbs,in2,in,in,in,in,in,in,in,in,,in,in,in,in,IN,,,,,,,,,,,in4,in3,in3,in,in4,in3,in3,in,in,in4,in6,,,,,,,,,
W14X605,W,605,178,20.9,,,17.4,,,2.60,4.16,,,,4.76,5.4375,2.5,,,,,,2.09,,4.39,,,10800,1320,1040,7.80,3680,652,423,4.55,,869,258000,,72.8,1320,258,657,,,,
W14X550,W,550,162,20.2,,,17.2,,,2.38,3.82,,,,4.42,5.125,2.375,,,,,,2.25,,4.79,,,9430,1180,931,7.63,3250,583,378,4.49,,669,219000,,70.4,1160,232,585,,,,
W14X500,W,500,147,19.6,,,17.0,,,2.19,3.50,,,,4.10,4.8125,2.3125,,,,,,2.43,,5.21,,,8210,1050,838,7.48,2880,522,339,4.43,,514,187000,,68.4,1020,209,522,,,,
W14X455,W,455,134,19.0,,,16.8,,,2.02,3.21,,,,3.81,4.5,2.25,,,,,,2.62,,5.66,,,7190,936,756,7.33,2560,468,304,4.38,,395,160000,,66.3,894,187,466,,,,
W14X426,W,426,125,18.7,,,16.7,,,1.88,3.04,,,,3.63,4.3125,2.125,,,,,,2.75,,6.08,,,6600,869,706,7.26,2360,434,283,4.34,,331,144000,,65.4,830,176,435,,,,
W14X398,W,398,117,18.3,,,16.6,,,1.77,2.85,,,,3.44,4.125,2.125,,,,,,2.92,,6.44,,,6000,801,656,7.16,2170,402,262,4.31,,273,129000,,64.1,758,163,401,,,,
W14X370,W,370,109,17.9,,,16.5,,,1.66,2.66,,,,3.26,3.9375,2.0625,,,,,,3.10,,6.89,,,5440,736,607,7.07,1990,370,241,4.27,,222,116000,,62.9,690,150,367,,,,
W14X342,W,342,101,17.5,,,16.4,,,1.54,2.47,,,,3.07,3.75,2,,,,,,3.31,,7.41,,,4900,672,558,6.98,1810,338,221,4.24,,178,103000,,61.6,624,138,335,,,,
W14X311,W,311,91.4,17.1,,,16.2,,,1.41,2.26,,,,2.86,3.5625,1.9375,,,,,,3.59,,8.09,,,4330,603,506,6.88,1610,304,199,4.20,,136,89100,,60.1,550,124,300,,,,
W14X283,W,283,83.3,16.7,,,16.1,,,1.29,2.07,,,,2.67,3.375,1.875,,,,,,3.89,,8.84,,,3840,542,459,6.79,1440,274,179,4.17,,104,77700,,58.9,491,112,269,,,,
W14X257,W,257,75.6,16.4,,,16.0,,,1.18,1.89,,,,2.49,3.1875,1.8125,,,,,,4.23,,9.71,,,3400,487,415,6.71,1290,246,161,4.13,,79.1,67800,,58.0,439,102,243,,,,
W14X233,W,233,68.5,16.0,,,15.9,,,1.07,1.72,,,,2.32,3,1.75,,,,,,4.62,,10.7,,,3010,436,375,6.63,1150,221,145,4.10,,59.5,59000,,56.8,388,91.1,216,,,,
W14X211,W,211,62.0,15.7,,,15.8,,,0.980,1.56,,,,2.16,2.875,1.6875,,,,,,5.06,,11.6,,,2660,390,338,6.55,1030,198,130,4.07,,44.6,51500,,55.9,344,81.7,194,,,,
W14X193,W,193,56.8,15.5,,,15.7,,,0.890,1.44,,,,2.04,2.75,1.6875,,,,,,5.45,,12.8,,,2400,355,310,6.50,931,180,119,4.05,,34.8,45900,,55.2,312,75.0,177,,,,
W14X176,W,176,51.8,15.2,,,15.7,,,0.830,1.31,,,,1.91,2.625,1.625,,,,,,5.97,,13.7,,,2140,320,281,6.43,838,163,107,4.02,,26.5,40500,,54.5,280,67.6,159,,,,
W14X159,W,159,46.7,15.0,,,15.6,,,0.745,1.19,,,,1.79,2.5,1.5625,,,,,,6.54,,15.3,,,1900,287,254,6.38,748,146,96.2,4.00,,19.7,35600,,53.9,250,61.0,143,,,,
W14X145,W,145,42.7,14.8,,,15.5,,,0.680,1.09,,,,1.69,2.375,1.5625,,,,,,7.11,,16.8,,,1710,260,232,6.33,677,133,87.3,3.98,,15.2,31700,,53.1,224,55.4,129,,,,
W14X132,W,132,38.8,14.7,,,14.7,,,0.645,1.03,,,,1.63,2.3125,1.5625,,,,,,7.15,,17.7,,,1530,234,209,6.28,548,113,74.5,3.76,,12.3,25500,,50.2,190,49.5,116,,,,
W14X120,W,120,35.3,14.5,,,14.7,,,0.590,0.940,,,,1.54,2.25,1.5,,,,,,7.80,,19.3,,,1380,212,190,6.24,495,102,67.5,3.74,,9.37,22700,,49.8,172,45.0,105,,,,
W14X109,W,109,32.0,14.3,,,14.6,,,0.525,0.860,,,,1.46,2.1875,1.5,,,,,,8.49,,21.7,,,1240,192,173,6.22,447,92.7,61.2,3.73,,7.12,20200,,49.1,154,40.7,94.8,,,,
W14X99,W,99.0,29.1,14.2,,,14.6,,,0.485,0.780,,,,1.38,2.0625,1.4375,,,,,,9.34,,23.5,,,1110,173,157,6.17,402,83.6,55.2,3.71,,5.37,18000,,49.0,139,36.9,86.1,,,,
W14X90,W,90.0,26.5,14.0,,,14.5,,,0.440,0.710,,,,1.31,2,1.4375,,,,,,10.2,,25.9,,,999,157,143,6.14,362,75.6,49.9,3.70,,4.06,16000,,48.2,124,33.2,77.1,,,,
W14X82,W,82.0,24.0,14.3,,,10.1,,,0.510,0.855,,,,1.45,1.6875,1.0625,,,,,,5.92,,22.4,,,881,139,123,6.05,148,44.8,29.3,2.48,,5.07,6710,,33.9,73.3,27.6,68.2,,,,
W14X74,W,74.0,21.8,14.2,,,10.1,,,0.450,0.785,,,,1.38,1.625,1.0625,,,,,,6.41,,25.4,,,795,126,112,6.04,134,40.5,26.6,2.48,,3.87,5990,,33.9,67.1,25.4,62.2,,,,
W14X68,W,68.0,20.0,14.0,,,10.0,,,0.415,0.720,,,,1.31,1.5625,1.0625,,,,,,6.97,,27.5,,,722,115,103,6.01,121,36.9,24.2,2.46,,3.01,5380,,33.2,59.8,22.9,56.0,,,,
W14X61,W,61.0,17.9,13.9,,,10.0,,,0.375,0.645,,,,1.24,1.5,1,,,,,,7.75,,30.4,,,640,102,92.1,5.98,107,32.8,21.5,2.45,,2.19,4710,,33.1,53.4,20.6,50.2,,,,
W14X53,W,53.0,15.6,13.9,,,8.06,,,0.370,0.660,,,,1.25,1.5,1,,,,,,6.11,,30.9,,,541,87.1,77.8,5.89,57.7,22.0,14.3,1.92,,1.94,2540,,26.7,35.5,16.8,42.5,,,,
W14X48,W,48.0,14.1,13.8,,,8.03,,,0.340,0.595,,,,1.19,1.4375,1,,,,,,6.75,,33.6,,,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91,,1.45,2240,,26.5,31.7,15.1,38.3,,,,
W14X43,W,43.0,12.6,13.7,,,8.00,,,0.305,0.530,,,,1.12,1.375,1,,,,,,7.54,,37.4,,,428,69.6,62.6,5.82,45.2,17.3,11.3,1.89,,1.05,1950,,26.3,27.9,13.4,34.0,,,,
W14X38,W,38.0,11.2,14.1,,,6.77,,,0.310,0.515,,,,0.915,1.25,0.8125,,,,,,6.57,,39.6,,,385,61.5,54.6,5.87,26.7,12.1,7.88,1.55,,0.798,1230,,23.0,20.0,11.3,30.3,,,,
W14X34,W,34.0,10.0,14.0,,,6.75,,,0.285,0.455,,,,0.855,1.1875,0.75,,,,,,7.41,,43.1,,,340,54.6,48.6,5.83,23.3,10.6,6.91,1.53,,0.569,1070,,22.9,17.6,10.0,26.9,,,,
W14X30,W,30.0,8.85,13.8,,,6.73,,,0.270,0.385,,,,0.785,1.125,0.75,,,,,,8.74,,45.4,,,291,47.3,42.0,5.73,19.6,8.99,5.82,1.49,,0.380,887,,22.6,14.6,8.34,23.1,,,,
W14X26,W,26.0,7.69,13.9,,,5.03,,,0.255,0.420,,,,0.820,1.125,0.75,,,,,,5.98,,48.1,,,245,40.2,35.3,5.65,8.91,5.54,3.55,1.08,,0.358,405,,17.0,8.95,6.76,19.7,,,,
